Chemical species: H2 He H2O CO2
P (bar) | log_H2: -2σ | log_H2: -1σ | log_H2: median | log_H2: +1σ | log_H2: +2σ 
2.84803587e-06 -0.09010872 -0.08412157 -0.07893107 -0.07396019 -0.07020604 
2.31012970e-06 -0.09010872 -0.08412157 -0.07893107 -0.07396019 -0.07020604 
1.87381742e-06 -0.09010872 -0.08412157 -0.07893107 -0.07396019 -0.07020604 
1.51991108e-06 -0.09010872 -0.08412157 -0.07893107 -0.07396019 -0.07020604 
1.23284674e-06 -0.09010872 -0.08412157 -0.07893107 -0.07396019 -0.07020604 
1.00000000e-06 -0.09010872 -0.08412157 -0.07893107 -0.07396019 -0.07020604 
8.11130831e-07 -0.09010872 -0.08412157 -0.07893107 -0.07396019 -0.07020604 
6.57933225e-07 -0.09010872 -0.08412157 -0.07893107 -0.07396019 -0.07020604 
5.33669923e-07 -0.09010872 -0.08412157 -0.07893107 -0.07396019 -0.07020604 
4.32876128e-07 -0.09010872 -0.08412157 -0.07893107 -0.07396019 -0.07020604 
3.51119173e-07 -0.09010872 -0.08412157 -0.07893107 -0.07396019 -0.07020604 
2.84803587e-07 -0.09010872 -0.08412157 -0.07893107 -0.07396019 -0.07020604 
2.31012970e-07 -0.09010872 -0.08412157 -0.07893107 -0.07396019 -0.07020604 
1.87381742e-07 -0.09010872 -0.08412157 -0.07893107 -0.07396019 -0.07020604 
1.51991108e-07 -0.09010872 -0.08412157 -0.07893107 -0.07396019 -0.07020604 
1.23284674e-07 -0.09010872 -0.08412157 -0.07893107 -0.07396019 -0.07020604 
1.00000000e-07 -0.09010872 -0.08412157 -0.07893107 -0.07396019 -0.07020604 
P (bar) | log_He: -2σ | log_He: -1σ | log_He: median | log_He: +1σ | log_He: +2σ 
1.00000000e+02 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
8.11130831e+01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
6.57933225e+01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
5.33669923e+01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
4.32876128e+01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
3.51119173e+01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
2.84803587e+01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
2.31012970e+01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.87381742e+01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.51991108e+01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.23284674e+01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
1.00000000e+01 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
8.11130831e+00 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
6.57933225e+00 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
5.33669923e+00 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
4.32876128e+00 -0.85965980 -0.85367265 -0.84848215 -0.84351127 -0.83975712 
