Chemical species: H2 He H2O SO2
P (bar) | log_H2: -2σ | log_H2: -1σ | log_H2: median | log_H2: +1σ | log_H2: +2σ 
5.33669923e-02 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
4.32876128e-02 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
3.51119173e-02 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
2.84803587e-02 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
2.31012970e-02 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.87381742e-02 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.51991108e-02 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.23284674e-02 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.00000000e-02 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
8.11130831e-03 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
6.57933225e-03 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
5.33669923e-03 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
4.32876128e-03 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
3.51119173e-03 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
2.84803587e-03 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
2.31012970e-03 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.87381742e-03 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.51991108e-03 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.23284674e-03 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.00000000e-03 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
8.11130831e-04 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
6.57933225e-04 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
5.33669923e-04 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
4.32876128e-04 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
3.51119173e-04 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
2.84803587e-04 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
2.31012970e-04 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.87381742e-04 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.51991108e-04 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.23284674e-04 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.00000000e-04 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
8.11130831e-05 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
6.57933225e-05 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
5.33669923e-05 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
4.32876128e-05 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
3.51119173e-05 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
2.84803587e-05 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
2.31012970e-05 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.87381742e-05 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.51991108e-05 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.23284674e-05 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.00000000e-05 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
8.11130831e-06 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
6.57933225e-06 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
5.33669923e-06 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
4.32876128e-06 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
3.51119173e-06 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
2.84803587e-06 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
2.31012970e-06 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.87381742e-06 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.51991108e-06 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
1.23284674e-06 -0.88688876 -0.86490496 -0.85010418 -0.84189228 -0.83846478 
